,mRNA_name,mRNA_score,mRNA_label
384,FKBP9,0.999800980091095,0.0
385,SLC11A1,0.9998008608818054,0.0
386,STARD5,0.9998008608818054,0.0
387,PIK3R2,0.9998005032539368,0.0
388,EPB41L3,0.9998003840446472,0.0
389,CRY2,0.9998002648353577,0.0
390,PLPPR1,0.9998000264167786,0.0
391,SNPH,0.9998000264167786,0.0
392,FAM110D,0.999799907207489,0.0
393,DLG2,0.999799907207489,0.0
394,STOX2,0.9997997879981995,0.0
395,MAP1B,0.9997997879981995,0.0
396,ZFP36L2,0.9997997879981995,0.0
397,CREBRF,0.9997997879981995,0.0
398,BAHCC1,0.9997994303703308,1.0
399,ARHGEF6,0.9997994303703308,1.0
400,MT-ND4L,0.9997990727424622,0.0
401,ACSL1,0.9997990727424622,0.0
402,CLIC5,0.9997989535331726,0.0
403,SGCD,0.9997989535331726,0.0
404,MDM4,0.9997988343238831,0.0
405,RPS27A,0.9997987151145935,0.0
406,CYBRD1,0.999798595905304,0.0
407,MCCD1,0.9997984766960144,0.0
408,ETS1,0.9997983574867249,0.0
409,SNX18,0.9997983574867249,0.0
410,HHIP,0.9997982382774353,0.0
411,ACVRL1,0.9997978806495667,0.0
412,FLOT1,0.9997977614402771,0.0
413,MCL1,0.9997977614402771,0.0
414,RYBP,0.9997974038124084,0.0
415,PRC1,0.9997974038124084,1.0
416,MYL2,0.9997972846031189,0.0
417,CUBN,0.9997972846031189,1.0
418,HP,0.9997972846031189,0.0
419,NPY2R,0.9997972846031189,0.0
420,ARC,0.9997972846031189,0.0
421,TIGAR,0.9997970461845398,0.0
422,OPN3,0.9997969269752502,1.0
423,TUT4,0.9997969269752502,1.0
424,LY6E,0.9997969269752502,0.0
425,TMEM53,0.9997969269752502,1.0
426,ALDH3A2,0.9997965693473816,0.0
427,CS,0.9997965693473816,0.0
428,TXNIP,0.999796450138092,1.0
429,F2R,0.9997963309288025,1.0
430,ARHGAP24,0.9997963309288025,0.0
431,ABLIM1,0.9997960925102234,0.0
432,RMDN3,0.9997959733009338,0.0
433,TTC3,0.9997959733009338,1.0
434,SULT1B1,0.9997958540916443,0.0
435,NEB,0.9997957348823547,0.0
436,MED17,0.9997957348823547,0.0
437,SMC3,0.9997956156730652,1.0
438,ADGRD1,0.9997956156730652,0.0
439,DGKE,0.9997956156730652,1.0
440,TTC29,0.9997953772544861,1.0
441,GAS7,0.9997953772544861,1.0
442,NOTCH1,0.9997952580451965,0.0
443,CHST4,0.9997950196266174,1.0
444,MOSMO,0.9997949004173279,0.0
445,ARHGEF15,0.9997949004173279,1.0
446,COTL1,0.9997946619987488,0.0
447,HIF1A,0.9997946619987488,0.0
448,GDF10,0.9997946619987488,0.0
449,UGT2B15,0.9997945427894592,0.0
450,ZNF318,0.9997943043708801,1.0
451,TIMP2,0.9997943043708801,0.0
452,OCA2,0.999794065952301,0.0
453,DOCK3,0.999794065952301,0.0
454,ZNF80,0.9997939467430115,0.0
455,KLHL31,0.9997938275337219,0.0
456,NKAPD1,0.9997937083244324,1.0
457,ART5,0.9997935891151428,0.0
458,FAM76B,0.9997935891151428,1.0
459,RTKN2,0.9997934699058533,0.0
460,HNRNPA1,0.9997933506965637,0.0
461,PNKD,0.9997933506965637,0.0
462,LONRF1,0.9997932314872742,0.0
463,FLNB,0.9997931122779846,0.0
464,ENO3,0.999792754650116,0.0
465,RETN,0.999792754650116,0.0
466,DLGAP2,0.9997926354408264,0.0
467,FAT4,0.9997926354408264,0.0
468,CD300E,0.9997923970222473,0.0
469,MED11,0.9997922778129578,0.0
470,PANK3,0.9997921586036682,0.0
471,CCN2,0.9997921586036682,0.0
472,KATNBL1,0.9997920393943787,0.0
473,PRX,0.9997918009757996,1.0
474,LILRA5,0.9997918009757996,0.0
475,POFUT2,0.9997918009757996,0.0
476,GNB4,0.9997915625572205,0.0
477,FCHO2,0.9997915625572205,0.0
478,ACTA2,0.9997915625572205,0.0
479,GSTA1,0.9997914433479309,1.0
480,CDC42,0.9997913241386414,0.0
481,PJA2,0.9997912049293518,1.0
482,HNRNPA2B1,0.9997910857200623,0.0
483,C1orf21,0.9997909665107727,0.0
484,C11orf95,0.9997908473014832,0.0
485,FCN1,0.9997908473014832,0.0
486,MT2A,0.9997907280921936,0.0
487,ASS1,0.9997907280921936,0.0
488,PAN2,0.9997907280921936,0.0
489,NOP2,0.999790608882904,0.0
490,SRGAP2,0.999790608882904,0.0
491,TRPC6,0.9997904896736145,0.0
492,LIMCH1,0.999790370464325,0.0
493,ITPR2,0.9997902512550354,0.0
494,FAHD2A,0.9997900128364563,0.0
495,PLEKHH2,0.9997896552085876,1.0
496,TLR2,0.9997896552085876,0.0
497,SMG1,0.9997894167900085,1.0
498,TSPAN14,0.999789297580719,1.0
499,LGALS3BP,0.999789297580719,0.0
500,HLA-DOA,0.999789297580719,0.0
501,ANKRD36B,0.999789297580719,0.0
502,GNG12,0.999789297580719,0.0
503,RPL36,0.9997891783714294,0.0
504,SPRYD4,0.9997890591621399,0.0
505,SPAG9,0.9997890591621399,1.0
506,RAP2C,0.9997889399528503,0.0
507,MYH9,0.9997889399528503,0.0
508,PPP3CC,0.9997888207435608,1.0
509,CDC42SE2,0.9997888207435608,0.0
510,PRKG2,0.9997885823249817,1.0
511,PODXL,0.9997884631156921,0.0
512,ERLIN2,0.9997883439064026,0.0
513,HAND1,0.999788224697113,0.0
514,EPHB4,0.9997881054878235,0.0
515,KLF10,0.9997879862785339,1.0
516,LATS2,0.9997878670692444,0.0
517,HOXA10,0.9997878670692444,0.0
518,SLC9A3R2,0.9997877478599548,0.0
519,JAK1,0.9997876286506653,0.0
520,APLN,0.9997875094413757,0.0
521,TJP1,0.9997871518135071,1.0
522,PHF20L1,0.9997871518135071,0.0
523,FBLN1,0.9997871518135071,0.0
524,FAM98A,0.9997870326042175,0.0
525,ADCY3,0.9997870326042175,0.0
526,PTX3,0.9997870326042175,0.0
527,KLF4,0.999786913394928,0.0
528,SLC6A1,0.9997867941856384,1.0
529,HOGA1,0.9997867941856384,0.0
530,DMTN,0.9997867941856384,0.0
531,ACTB,0.9997867941856384,1.0
532,ARL4A,0.9997866749763489,0.0
533,PAX6,0.9997866749763489,0.0
534,CA3,0.9997865557670593,0.0
535,FAT3,0.9997865557670593,0.0
536,ANTXR2,0.9997865557670593,0.0
537,HSD11B1,0.9997863173484802,1.0
538,ISLR2,0.9997863173484802,0.0
539,ASAH2,0.9997863173484802,1.0
540,NR2F2,0.9997861981391907,0.0
541,RIMKLB,0.9997861981391907,0.0
542,NRG1,0.9997861981391907,0.0
543,SH3BGRL2,0.9997860789299011,0.0
544,ARHGDIA,0.9997859597206116,0.0
545,LTBP3,0.999785840511322,0.0
546,IL6,0.9997857213020325,0.0
547,COL14A1,0.9997857213020325,0.0
548,LEFTY2,0.9997856020927429,0.0
549,IBA57,0.9997854828834534,1.0
550,COLEC11,0.9997853636741638,0.0
551,LIPA,0.9997852444648743,0.0
552,YRDC,0.9997850060462952,0.0
553,TPST2,0.9997847676277161,0.0
554,APBB1,0.999784529209137,0.0
555,ASTL,0.9997844099998474,0.0
556,CHST7,0.9997844099998474,0.0
557,GSAP,0.9997842907905579,0.0
558,GPRIN3,0.9997842907905579,0.0
559,ZNF618,0.9997841715812683,0.0
560,CSF1,0.9997841715812683,0.0
561,ST8SIA6,0.9997841715812683,0.0
562,KLHL15,0.9997840523719788,0.0
563,LIFR,0.9997838139533997,0.0
564,SLC38A2,0.9997838139533997,0.0
565,ATP8A1,0.9997838139533997,0.0
566,VCL,0.9997838139533997,1.0
567,PBX1,0.9997836947441101,0.0
568,ATP11A,0.9997836947441101,0.0
569,USP15,0.9997836947441101,0.0
570,ACTA1,0.9997835755348206,0.0
571,CTNND1,0.999783456325531,0.0
572,ZFYVE16,0.999783456325531,1.0
573,TENT5A,0.999783456325531,0.0
574,LATS1,0.9997830986976624,0.0
575,RAPGEF2,0.9997829794883728,0.0
576,FHL5,0.9997829794883728,0.0
577,RAB18,0.9997829794883728,0.0
578,HSP90B1,0.9997828602790833,0.0
579,WFS1,0.9997828602790833,1.0
580,ADAMTS5,0.9997825026512146,0.0
581,DHTKD1,0.999782383441925,1.0
582,SIK2,0.999782383441925,0.0
583,ZNF275,0.999782383441925,0.0
584,SHISA3,0.999782383441925,0.0
585,MGAM,0.999782145023346,0.0
586,PGRMC1,0.999782145023346,0.0
587,HOXA11,0.9997820258140564,0.0
588,SPHK2,0.9997820258140564,0.0
589,FOXI1,0.9997819066047668,0.0
590,WWTR1,0.9997817873954773,0.0
591,ACER3,0.9997817873954773,0.0
592,ZCCHC24,0.9997816681861877,0.0
593,ACSL4,0.9997816681861877,1.0
594,SLC1A2,0.9997815489768982,0.0
595,SPTBN2,0.9997814297676086,0.0
596,ERMP1,0.9997813105583191,0.0
